,Marca de la moto,Modelo,Precio de la moto,Tipo de Carné,Tipo de moto,Versión / Año,Web del fabricante,Cilindrada,Potencia Máxima Declarada,Altura asiento
183,Ducati,Scrambler Full Throttle 2019,10.790 €,A/A2,Naked,2019,https://www.ducati.com/es/es/,803 cc,73 cv,798 mm
184,Ducati,Scrambler Icon 2019,9.190 €,A/A2,Naked,2019,https://www.ducati.com/es/es/,803 cc,73 cv,798 mm
185,Ducati,Monster 1200 25 aniversario 2018,20.690 €,A,Naked,2018,https://www.ducati.com/es/es/,1.198 cc,147 cv,795 mm
186,Ducati,Scrambler Sport 1100 2018,15.190 €,A/A2,Naked,2018,https://www.ducati.com/es/es/,1.079 cc,86 cv,810 mm
187,Ducati,Scrambler 1100 Special 2018,14.490 €,A/A2,Naked,2018,https://www.ducati.com/es/es/,1.079 cc,86 cv,810 mm
188,Ducati,XDiavel S 2018,23.790 €,A,Custom,2018,https://www.ducati.com/es/es/,1.262 cc,156 cv,755 mm
189,Ducati,Multistrada 1260,17.890 €,A,Trail,2018,https://www.ducati.com/es/es/,1.262 cc,158 cv,825 mm
190,Ducati,Scrambler 1100,13.190 €,A/A2,Naked,2018,https://www.ducati.com/es/es/,1.079 cc,86 cv,810 mm
191,Ducati,Panigale V4 2018,25.190 €,A,Deportiva,2018,https://www.ducati.com/es/es/,1.103 cc,214 cv,830 mm
192,Ducati,Monster 821 2018,10.990 €,A,Naked,2018,https://www.ducati.com/es/es/,821 cc,109 cv,785 mm
193,Ducati,Multistrada Enduro Pro,16.990 €,A,Trail,2017,https://www.ducati.com/es/es/,1.198 cc,152 cv,870 mm
194,Ducati,Monster 1200 2017,13.990 €,A,Naked,2017,https://www.ducati.com/es/es/,1.198 cc,150 cv,795 mm
195,Ducati,Scrambler Desert Sled 2017,11.190 €,A/ A2,Trail,2017,https://www.ducati.com/es/es/,803 cc,75 cv,860 mm
196,Ducati,Scrambler Café Racer 2017,8.990 €,A/ A2,Naked,2017,https://www.ducati.com/es/es/,803 cc,75 cv,805 mm
197,Ducati,Multistrada 950 2017,13.990 €,A,Trail,2017,https://www.ducati.com/es/es/,937 cc,113 cv,840 mm
198,Ducati,Monster 821 2017,10.490 €,A,Naked,2017,https://www.ducati.com/es/es/,821 cc,112 cv,785 mm
199,Ducati,Monster 797 2017,8.990 €,A/ A2,Naked,2017,https://www.ducati.com/es/es/,803 cc,75 cv,805 mm
200,Ducati,Monster 1200 S 2017,17.290 €,A,Naked,2017,https://www.ducati.com/es/es/,1.198 cc,150 cv,795 mm
201,Ducati,Ducati 939 Supersport 2017,13.290 €,A,Deportiva,2017,https://www.ducati.com/es/es/,937 cc,113 cv,810 mm
202,Ducati,Scrambler Full Throttle,10.350 €,A,Naked,2016,https://www.ducati.com/es/es/,803 cc,75 cv,790 mm
